timeOpen,timeClose,open,high,low,close,volume,numberOfTrades
2025-12-19 17:33:00+00:00,2025-12-19 17:33:59.999000+00:00,86950.01,87066.0,86950.0,87030.37,31.94657,6776
2025-12-19 17:34:00+00:00,2025-12-19 17:34:59.999000+00:00,87030.38,87052.0,86943.25,87025.61,43.91184,13931
2025-12-19 17:35:00+00:00,2025-12-19 17:35:59.999000+00:00,87025.61,87196.44,87025.6,87196.44,6.42763,3032
2025-12-19 17:36:00+00:00,2025-12-19 17:36:59.999000+00:00,87355.96,87355.96,87323.5,87347.39,2.66672,1088
2025-12-19 17:37:00+00:00,2025-12-19 17:37:59.999000+00:00,87347.38,87427.8,87279.58,87372.19,16.15478,10059
2025-12-19 17:38:00+00:00,2025-12-19 17:38:59.999000+00:00,87372.19,87391.85,87287.13,87287.13,11.47543,6246
2025-12-19 17:39:00+00:00,2025-12-19 17:39:59.999000+00:00,87287.14,87328.0,87274.0,87299.98,7.93138,5035
2025-12-19 17:40:00+00:00,2025-12-19 17:40:59.999000+00:00,87299.98,87299.98,87115.0,87170.96,19.35521,11379
2025-12-19 17:41:00+00:00,2025-12-19 17:41:59.999000+00:00,87170.95,87185.93,87015.6,87020.31,27.207,9908
2025-12-19 17:43:00+00:00,2025-12-19 17:43:59.999000+00:00,87173.01,87240.54,87173.0,87240.53,6.65575,3281
2025-12-19 17:44:00+00:00,2025-12-19 17:44:59.999000+00:00,87240.53,87280.0,87117.72,87117.72,23.19225,7009
2025-12-19 17:45:00+00:00,2025-12-19 17:45:59.999000+00:00,87117.72,87138.31,86974.92,86979.57,16.63296,10394
2025-12-19 17:46:00+00:00,2025-12-19 17:46:59.999000+00:00,86979.57,87031.44,86873.14,86950.02,26.97322,10972
2025-12-19 17:47:00+00:00,2025-12-19 17:47:59.999000+00:00,86950.03,87125.56,86934.39,87125.55,10.95248,7376
2025-12-19 17:48:00+00:00,2025-12-19 17:48:59.999000+00:00,87125.55,87220.0,87035.99,87220.0,12.5759,8447
2025-12-19 17:49:00+00:00,2025-12-19 17:49:59.999000+00:00,87219.99,87321.41,87191.27,87253.05,23.16624,7882
2025-12-19 17:50:00+00:00,2025-12-19 17:50:59.999000+00:00,87253.05,87280.01,87242.0,87275.32,3.80086,1491
2025-12-19 17:51:00+00:00,2025-12-19 17:51:59.999000+00:00,87343.0,87400.0,87334.18,87391.07,12.457,6402
2025-12-19 17:52:00+00:00,2025-12-19 17:52:59.999000+00:00,87391.06,87452.43,87253.05,87253.06,20.96266,7999
2025-12-19 17:53:00+00:00,2025-12-19 17:53:59.999000+00:00,87253.05,87267.65,87222.22,87223.44,11.42507,4177
2025-12-19 17:54:00+00:00,2025-12-19 17:54:59.999000+00:00,87223.44,87276.83,87202.69,87273.42,59.33607,6641
2025-12-19 17:55:00+00:00,2025-12-19 17:55:59.999000+00:00,87273.42,87306.15,87234.58,87247.16,41.7756,6901
2025-12-19 17:56:00+00:00,2025-12-19 17:56:59.999000+00:00,87247.17,87370.13,87247.16,87354.56,23.0993,8134
2025-12-19 17:57:00+00:00,2025-12-19 17:57:59.999000+00:00,87354.56,87375.99,87341.75,87362.72,49.42299,4679
2025-12-19 17:58:00+00:00,2025-12-19 17:58:59.999000+00:00,87362.73,87362.73,87120.0,87135.83,30.3078,7088
2025-12-19 17:59:00+00:00,2025-12-19 17:59:59.999000+00:00,87135.84,87146.93,86943.25,86943.25,50.65929,11073
2025-12-19 18:00:00+00:00,2025-12-19 18:00:59.999000+00:00,86943.26,86999.84,86846.16,86914.0,33.34455,16534
2025-12-19 18:01:00+00:00,2025-12-19 18:01:59.999000+00:00,86913.99,87045.09,86900.0,87030.77,17.9324,9416
2025-12-19 18:02:00+00:00,2025-12-19 18:02:59.999000+00:00,87117.67,87120.0,87111.56,87111.56,0.4836,279
2025-12-19 18:03:00+00:00,2025-12-19 18:03:59.999000+00:00,87111.57,87111.57,87020.0,87040.65,16.93296,7615
2025-12-19 18:04:00+00:00,2025-12-19 18:04:59.999000+00:00,87040.64,87114.98,87033.24,87059.56,7.57033,5673
2025-12-19 18:05:00+00:00,2025-12-19 18:05:59.999000+00:00,87059.08,87116.73,87029.42,87112.54,5.44456,3839
